"","mu1","mu2"
"162",15,2
"163",15,2
"164",15,2
"165",15,2
"166",15,2
"167",15,2
"168",15,2
"169",15,2
"170",15,2
"171",-6,-4
"172",-6,-4
"173",-6,-4
"174",-6,-4
"175",-6,-4
"176",-6,-4
"177",-6,-4
"178",-6,-4
"179",-6,-4
"180",-6,-4
"181",2,18
"182",2,18
"183",2,18
"184",2,18
"185",2,18
"186",2,18
"187",2,18
"188",2,18
"189",2,18
"190",2,18
"191",3,3
"192",3,3
"193",3,3
"194",3,3
"195",3,3
"196",3,3
"197",3,3
"198",3,3
"199",3,3
"200",3,3
"201",-2,-7
"202",-2,-7
"203",-2,-7
"204",-2,-7
"205",-2,-7
"206",-2,-7
"207",-2,-7
"208",-2,-7
"209",-2,-7
"210",-2,-7
"211",8,8
"212",8,8
"213",8,8
"214",8,8
"215",8,8
"216",8,8
"217",8,8
"218",8,8
"219",8,8
"220",8,8
"221",11,-5
"222",11,-5
"223",11,-5
"224",11,-5
"225",11,-5
"226",11,-5
"227",11,-5
"228",11,-5
"229",11,-5
"230",11,-5
"231",-5,6
"232",-5,6
"233",-5,6
"234",-5,6
"235",-5,6
"236",-5,6
"237",-5,6
"238",-5,6
"239",-5,6
"240",-5,6
"241",-3,16
"242",-3,16
"243",-3,16
"244",-3,16
"245",-3,16
"246",-3,16
"247",-3,16
"248",-3,16
"249",-3,16
"250",-3,16
"251",-15,6
"252",-15,6
"253",-15,6
"254",-15,6
"255",-15,6
"256",-15,6
"257",-15,6
"258",-15,6
"259",-15,6
"260",-15,6
"261",-1,8
"262",-1,8
"263",-1,8
"264",-1,8
"265",-1,8
"266",-1,8
"267",-1,8
"268",-1,8
"269",-1,8
"270",-1,8
"271",5,-14
"272",5,-14
"273",5,-14
"274",5,-14
"275",5,-14
"276",5,-14
"277",5,-14
"278",5,-14
"279",5,-14
"280",5,-14
"281",15,0
"282",15,0
"283",15,0
"284",15,0
"285",15,0
"286",15,0
"287",15,0
"288",15,0
"289",15,0
"290",15,0
"291",12,6
"292",12,6
"293",12,6
"294",12,6
"295",12,6
"296",12,6
"297",12,6
"298",12,6
"299",12,6
"300",12,6
"301",6,5
"302",6,5
"303",6,5
"304",6,5
"305",6,5
"306",6,5
"307",6,5
"308",6,5
"309",6,5
"310",6,5
"311",-7,-4
"312",-7,-4
"313",-7,-4
"314",-7,-4
"315",-7,-4
"316",-7,-4
"317",-7,-4
"318",-7,-4
"319",-7,-4
"320",-7,-4
"321",12,2
"322",12,2
"323",12,2
"324",12,2
"325",12,2
"326",12,2
"327",12,2
"328",12,2
"329",12,2
"330",12,2
"331",6,2
"332",6,2
"333",6,2
"334",6,2
"335",6,2
"336",6,2
"337",6,2
"338",6,2
"339",6,2
"340",6,2
"341",6,-9
"342",6,-9
"343",6,-9
"344",6,-9
"345",6,-9
"346",6,-9
"347",6,-9
"348",6,-9
"349",6,-9
"350",6,-9
"351",5,-3
"352",5,-3
"353",5,-3
"354",5,-3
"355",5,-3
"356",5,-3
"357",5,-3
"358",5,-3
"359",5,-3
"360",5,-3
"361",-2,11
"362",-2,11
"363",-2,11
"364",-2,11
"365",-2,11
"366",-2,11
"367",-2,11
"368",-2,11
"369",-2,11
"370",-2,11
"371",-1,-9
"372",-1,-9
"373",-1,-9
"374",-1,-9
"375",-1,-9
"376",-1,-9
"377",-1,-9
"378",-1,-9
"379",-1,-9
"380",-1,-9
"381",18,-6
"382",18,-6
"383",18,-6
"384",18,-6
"385",18,-6
"386",18,-6
"387",18,-6
"388",18,-6
"389",18,-6
"390",18,-6
"391",15,-3
"392",15,-3
"393",15,-3
"394",15,-3
"395",15,-3
"396",15,-3
"397",15,-3
"398",15,-3
"399",15,-3
"400",15,-3
"401",10,9
"402",10,9
"403",10,9
"404",10,9
"405",10,9
"406",10,9
"407",10,9
"408",10,9
"409",10,9
"410",10,9
"411",-4,6
"412",-4,6
"413",-4,6
"414",-4,6
"415",-4,6
"416",-4,6
"417",-4,6
"418",-4,6
"419",-4,6
"420",-4,6
"421",4,-1
"422",4,-1
"423",4,-1
"424",4,-1
"425",4,-1
"426",4,-1
"427",4,-1
"428",4,-1
"429",4,-1
"430",4,-1
"431",-13,8
"432",-13,8
"433",-13,8
"434",-13,8
"435",-13,8
"436",-13,8
"437",-13,8
"438",-13,8
"439",-13,8
"440",-13,8
"441",-2,6
"442",-2,6
"443",-2,6
"444",-2,6
"445",-2,6
"446",-2,6
"447",-2,6
"448",-2,6
"449",-2,6
"450",-2,6
"451",-2,-2
"452",-2,-2
"453",-2,-2
"454",-2,-2
"455",-2,-2
"456",-2,-2
"457",-2,-2
"458",-2,-2
"459",-2,-2
"460",-2,-2
"461",1,8
"462",1,8
"463",1,8
"464",1,8
"465",1,8
"466",1,8
"467",1,8
"468",1,8
"469",1,8
"470",1,8
"471",-2,-7
"472",-2,-7
"473",-2,-7
"474",-2,-7
"475",-2,-7
"476",-2,-7
"477",-2,-7
"478",-2,-7
"479",-2,-7
"480",-2,-7
"481",-6,2
"482",-6,2
"483",-6,2
"484",-6,2
"485",-6,2
"486",-6,2
"487",-6,2
"488",-6,2
"489",-6,2
"490",-6,2
"491",6,-1
"492",6,-1
"493",6,-1
"494",6,-1
"495",6,-1
"496",6,-1
"497",6,-1
"498",6,-1
"499",6,-1
"500",6,-1
"501",-4,5
"502",-4,5
"503",-4,5
"504",-4,5
"505",-4,5
"506",-4,5
"507",-4,5
"508",-4,5
"509",-4,5
"510",-4,5
"511",2,-10
"512",2,-10
"513",2,-10
"514",2,-10
"515",2,-10
"516",2,-10
"517",2,-10
"518",2,-10
"519",2,-10
"520",2,-10
"521",0,7
"522",0,7
"523",0,7
"524",0,7
"525",0,7
"526",0,7
"527",0,7
"528",0,7
"529",0,7
"530",0,7
"531",3,0
"532",3,0
"533",3,0
"534",3,0
"535",3,0
"536",3,0
"537",3,0
"538",3,0
"539",3,0
"540",3,0
"541",5,3
"542",5,3
"543",5,3
"544",5,3
"545",5,3
"546",5,3
"547",5,3
"548",5,3
"549",5,3
"550",5,3
"551",4,4
"552",4,4
"553",4,4
"554",4,4
"555",4,4
"556",4,4
"557",4,4
"558",4,4
"559",4,4
"560",4,4
"561",6,-3
"562",6,-3
"563",6,-3
"564",6,-3
"565",6,-3
"566",6,-3
"567",6,-3
"568",6,-3
"569",6,-3
"570",6,-3
"571",-8,-3
"572",-8,-3
"573",-8,-3
"574",-8,-3
"575",-8,-3
"576",-8,-3
"577",-8,-3
"578",-8,-3
"579",-8,-3
"580",-8,-3
"581",4,-4
"582",4,-4
"583",4,-4
"584",4,-4
"585",4,-4
"586",4,-4
"587",4,-4
"588",4,-4
"589",4,-4
"590",4,-4
"591",5,-6
"592",5,-6
"593",5,-6
"594",5,-6
"595",5,-6
"596",5,-6
"597",5,-6
"598",5,-6
"599",5,-6
"600",5,-6
"601",3,4
"602",3,4
"603",3,4
"604",3,4
"605",3,4
"606",3,4
"607",3,4
"608",3,4
"609",3,4
"610",3,4
"611",-2,-1
"612",-2,-1
"613",-2,-1
"614",-2,-1
"615",-2,-1
"616",-2,-1
"617",-2,-1
"618",-2,-1
"619",-2,-1
"620",-2,-1
"621",7,8
"622",7,8
"623",7,8
"624",7,8
"625",7,8
"626",7,8
"627",7,8
"628",7,8
"629",7,8
"630",7,8
"631",-6,5
"632",-6,5
"633",-6,5
"634",-6,5
"635",-6,5
"636",-6,5
"637",-6,5
"638",-6,5
"639",-6,5
"640",-6,5
"641",-5,-4
"642",-5,-4
"643",-5,-4
"644",-5,-4
"645",-5,-4
"646",-5,-4
"647",-5,-4
"648",-5,-4
"649",-5,-4
"650",-5,-4
"651",-9,15
"652",-9,15
"653",-9,15
"654",-9,15
"655",-9,15
"656",-9,15
"657",-9,15
"658",-9,15
"659",-9,15
"660",-9,15
"661",6,16
"662",6,16
"663",6,16
"664",6,16
"665",6,16
"666",6,16
"667",6,16
"668",6,16
"669",6,16
"670",6,16
"671",-3,-4
"672",-3,-4
"673",-3,-4
"674",-3,-4
"675",-3,-4
"676",-3,-4
"677",-3,-4
"678",-3,-4
"679",-3,-4
"680",-3,-4
"681",9,-5
"682",9,-5
"683",9,-5
"684",9,-5
"685",9,-5
"686",9,-5
"687",9,-5
"688",9,-5
"689",9,-5
"690",9,-5
"691",9,-4
"692",9,-4
"693",9,-4
"694",9,-4
"695",9,-4
"696",9,-4
"697",9,-4
"698",9,-4
"699",9,-4
"700",9,-4
"701",2,6
"702",2,6
"703",2,6
"704",2,6
"705",2,6
"706",2,6
"707",2,6
"708",2,6
"709",2,6
"710",2,6
"711",13,-8
"712",13,-8
"713",13,-8
"714",13,-8
"715",13,-8
"716",13,-8
"717",13,-8
"718",13,-8
"719",13,-8
"720",13,-8
"721",-4,2
"722",-4,2
"723",-4,2
"724",-4,2
"725",-4,2
"726",-4,2
"727",-4,2
"728",-4,2
"729",-4,2
"730",-4,2
"731",-1,17
"732",-1,17
"733",-1,17
"734",-1,17
"735",-1,17
"736",-1,17
"737",-1,17
"738",-1,17
"739",-1,17
"740",-1,17
"741",0,-4
"742",0,-4
"743",0,-4
"744",0,-4
"745",0,-4
"746",0,-4
"747",0,-4
"748",0,-4
"749",0,-4
"750",0,-4
"751",24,10
"752",24,10
"753",24,10
"754",24,10
"755",24,10
"756",24,10
"757",24,10
"758",24,10
"759",24,10
"760",24,10
"761",2,19
"762",2,19
"763",2,19
"764",2,19
"765",2,19
"766",2,19
"767",2,19
"768",2,19
"769",2,19
"770",2,19
"771",-6,-16
"772",-6,-16
"773",-6,-16
"774",-6,-16
"775",-6,-16
"776",-6,-16
"777",-6,-16
"778",-6,-16
"779",-6,-16
"780",-6,-16
"781",6,-16
"782",6,-16
"783",6,-16
"784",6,-16
"785",6,-16
"786",6,-16
"787",6,-16
"788",6,-16
"789",6,-16
"790",6,-16
"791",21,-3
"792",21,-3
"793",21,-3
"794",21,-3
"795",21,-3
"796",21,-3
"797",21,-3
"798",21,-3
"799",21,-3
"800",21,-3
"801",12,2
"802",12,2
"803",12,2
"804",12,2
"805",12,2
"806",12,2
"807",12,2
"808",12,2
"809",12,2
"810",12,2
"811",4,14
"812",4,14
"813",4,14
"814",4,14
"815",4,14
"816",4,14
"817",4,14
"818",4,14
"819",4,14
"820",4,14
"821",-20,-7
"822",-20,-7
"823",-20,-7
"824",-20,-7
"825",-20,-7
"826",-20,-7
"827",-20,-7
"828",-20,-7
"829",-20,-7
"830",-20,-7
"831",-15,-4
"832",-15,-4
"833",-15,-4
"834",-15,-4
"835",-15,-4
"836",-15,-4
"837",-15,-4
"838",-15,-4
"839",-15,-4
"840",-15,-4
"841",16,13
"842",16,13
"843",16,13
"844",16,13
"845",16,13
"846",16,13
"847",16,13
"848",16,13
"849",16,13
"850",16,13
"851",-9,-9
"852",-9,-9
"853",-9,-9
"854",-9,-9
"855",-9,-9
"856",-9,-9
"857",-9,-9
"858",-9,-9
"859",-9,-9
"860",-9,-9
"861",6,7
"862",6,7
"863",6,7
"864",6,7
"865",6,7
"866",6,7
"867",6,7
"868",6,7
"869",6,7
"870",6,7
"871",14,9
"872",14,9
"873",14,9
"874",14,9
"875",14,9
"876",14,9
"877",14,9
"878",14,9
"879",14,9
"880",14,9
"881",-7,22
"882",-7,22
"883",-7,22
"884",-7,22
"885",-7,22
"886",-7,22
"887",-7,22
"888",-7,22
"889",-7,22
"890",-7,22
"891",-1,-1
"892",-1,-1
"893",-1,-1
"894",-1,-1
"895",-1,-1
"896",-1,-1
"897",-1,-1
"898",-1,-1
"899",-1,-1
"900",-1,-1
"901",-3,-17
"902",-3,-17
"903",-3,-17
"904",-3,-17
"905",-3,-17
"906",-3,-17
"907",-3,-17
"908",-3,-17
"909",-3,-17
"910",-3,-17
"911",0,1
"912",0,1
"913",0,1
"914",0,1
"915",0,1
"916",0,1
"917",0,1
"918",0,1
"919",0,1
"920",0,1
"921",11,-5
"922",11,-5
"923",11,-5
"924",11,-5
"925",11,-5
"926",11,-5
"927",11,-5
"928",11,-5
"929",11,-5
"930",11,-5
"931",2,-10
"932",2,-10
"933",2,-10
"934",2,-10
"935",2,-10
"936",2,-10
"937",2,-10
"938",2,-10
"939",2,-10
"940",2,-10
"941",4,-10
"942",4,-10
"943",4,-10
"944",4,-10
"945",4,-10
"946",4,-10
"947",4,-10
"948",4,-10
"949",4,-10
"950",4,-10
"951",21,-12
"952",21,-12
"953",21,-12
"954",21,-12
"955",21,-12
"956",21,-12
"957",21,-12
"958",21,-12
"959",21,-12
"960",21,-12
"961",-1,-11
"962",-1,-11
"963",-1,-11
"964",-1,-11
"965",-1,-11
"966",-1,-11
"967",-1,-11
"968",-1,-11
"969",-1,-11
"970",-1,-11
"971",3,6
"972",3,6
"973",3,6
"974",3,6
"975",3,6
"976",3,6
"977",3,6
"978",3,6
"979",3,6
"980",3,6
"981",3,-11
"982",3,-11
"983",3,-11
"984",3,-11
"985",3,-11
"986",3,-11
"987",3,-11
"988",3,-11
"989",3,-11
"990",3,-11
"991",4,-7
"992",4,-7
"993",4,-7
"994",4,-7
"995",4,-7
"996",4,-7
"997",4,-7
"998",4,-7
"999",4,-7
"1000",4,-7
"1001",0,-8
"1002",0,-8
"1003",0,-8
"1004",0,-8
"1005",0,-8
"1006",0,-8
"1007",0,-8
"1008",0,-8
"1009",0,-8
"1010",0,-8
"1011",-6,-8
"1012",-6,-8
"1013",-6,-8
"1014",-6,-8
"1015",-6,-8
"1016",-6,-8
"1017",-6,-8
"1018",-6,-8
"1019",-6,-8
"1020",-6,-8
"1021",-13,-8
"1022",-13,-8
"1023",-13,-8
"1024",-13,-8
"1025",-13,-8
"1026",-13,-8
"1027",-13,-8
"1028",-13,-8
"1029",-13,-8
"1030",-13,-8
"1031",8,-4
"1032",8,-4
"1033",8,-4
"1034",8,-4
"1035",8,-4
"1036",8,-4
"1037",8,-4
"1038",8,-4
"1039",8,-4
"1040",8,-4
"1041",6,4
"1042",6,4
"1043",6,4
"1044",6,4
"1045",6,4
"1046",6,4
"1047",6,4
"1048",6,4
"1049",6,4
"1050",6,4
"1051",9,-1
"1052",9,-1
"1053",9,-1
"1054",9,-1
"1055",9,-1
"1056",9,-1
"1057",9,-1
"1058",9,-1
"1059",9,-1
"1060",9,-1
"1061",19,4
"1062",19,4
"1063",19,4
"1064",19,4
"1065",19,4
"1066",19,4
"1067",19,4
"1068",19,4
"1069",19,4
"1070",19,4
"1071",-9,20
"1072",-9,20
"1073",-9,20
"1074",-9,20
"1075",-9,20
"1076",-9,20
"1077",-9,20
"1078",-9,20
"1079",-9,20
"1080",-9,20
"1081",9,5
"1082",9,5
"1083",9,5
"1084",9,5
"1085",9,5
"1086",9,5
"1087",9,5
"1088",9,5
"1089",9,5
"1090",9,5
"1091",-4,-6
"1092",-4,-6
"1093",-4,-6
"1094",-4,-6
"1095",-4,-6
"1096",-4,-6
"1097",-4,-6
"1098",-4,-6
"1099",-4,-6
"1100",-4,-6
"1101",4,-20
"1102",4,-20
"1103",4,-20
"1104",4,-20
"1105",4,-20
"1106",4,-20
"1107",4,-20
"1108",4,-20
"1109",4,-20
"1110",4,-20
"1111",-18,-9
"1112",-18,-9
"1113",-18,-9
"1114",-18,-9
"1115",-18,-9
"1116",-18,-9
"1117",-18,-9
"1118",-18,-9
"1119",-18,-9
"1120",-18,-9
"1121",-3,-1
"1122",-3,-1
"1123",-3,-1
"1124",-3,-1
"1125",-3,-1
"1126",-3,-1
"1127",-3,-1
"1128",-3,-1
"1129",-3,-1
"1130",-3,-1
"1131",-1,11
"1132",-1,11
"1133",-1,11
"1134",-1,11
"1135",-1,11
"1136",-1,11
"1137",-1,11
"1138",-1,11
"1139",-1,11
"1140",-1,11
"1141",-4,4
"1142",-4,4
"1143",-4,4
"1144",-4,4
"1145",-4,4
"1146",-4,4
"1147",-4,4
"1148",-4,4
"1149",-4,4
"1150",-4,4
"1151",-5,-3
"1152",-5,-3
"1153",-5,-3
"1154",-5,-3
"1155",-5,-3
"1156",-5,-3
"1157",-5,-3
"1158",-5,-3
"1159",-5,-3
"1160",-5,-3
"1161",-11,-2
"1162",-11,-2
"1163",-11,-2
"1164",-11,-2
"1165",-11,-2
"1166",-11,-2
"1167",-11,-2
"1168",-11,-2
"1169",-11,-2
"1170",-11,-2
"1171",-7,-2
"1172",-7,-2
"1173",-7,-2
"1174",-7,-2
"1175",-7,-2
"1176",-7,-2
"1177",-7,-2
"1178",-7,-2
"1179",-7,-2
"1180",-7,-2
"1181",-8,-15
"1182",-8,-15
"1183",-8,-15
"1184",-8,-15
"1185",-8,-15
"1186",-8,-15
"1187",-8,-15
"1188",-8,-15
"1189",-8,-15
"1190",-8,-15
"1191",2,-8
"1192",2,-8
"1193",2,-8
"1194",2,-8
"1195",2,-8
"1196",2,-8
"1197",2,-8
"1198",2,-8
"1199",2,-8
"1200",2,-8
"1201",-5,-6
"1202",-5,-6
"1203",-5,-6
"1204",-5,-6
"1205",-5,-6
"1206",-5,-6
"1207",-5,-6
"1208",-5,-6
"1209",-5,-6
"1210",-5,-6
"1211",-2,5
"1212",-2,5
"1213",-2,5
"1214",-2,5
"1215",-2,5
"1216",-2,5
"1217",-2,5
"1218",-2,5
"1219",-2,5
"1220",-2,5
"1221",-3,7
"1222",-3,7
"1223",-3,7
"1224",-3,7
"1225",-3,7
"1226",-3,7
"1227",-3,7
"1228",-3,7
"1229",-3,7
"1230",-3,7
"1231",-8,-9
"1232",-8,-9
"1233",-8,-9
"1234",-8,-9
"1235",-8,-9
"1236",-8,-9
"1237",-8,-9
"1238",-8,-9
"1239",-8,-9
"1240",-8,-9
"1241",-11,-8
"1242",-11,-8
"1243",-11,-8
"1244",-11,-8
"1245",-11,-8
"1246",-11,-8
"1247",-11,-8
"1248",-11,-8
"1249",-11,-8
"1250",-11,-8
"1251",1,12
"1252",1,12
"1253",1,12
"1254",1,12
"1255",1,12
"1256",1,12
"1257",1,12
"1258",1,12
"1259",1,12
"1260",1,12
"1261",-16,-11
"1262",-16,-11
"1263",-16,-11
"1264",-16,-11
"1265",-16,-11
"1266",-16,-11
"1267",-16,-11
"1268",-16,-11
"1269",-16,-11
"1270",-16,-11
"1271",-10,-6
"1272",-10,-6
"1273",-10,-6
"1274",-10,-6
"1275",-10,-6
"1276",-10,-6
"1277",-10,-6
"1278",-10,-6
"1279",-10,-6
"1280",-10,-6
"1281",-1,-6
"1282",-1,-6
"1283",-1,-6
"1284",-1,-6
"1285",-1,-6
"1286",-1,-6
"1287",-1,-6
"1288",-1,-6
"1289",-1,-6
"1290",-1,-6
"1291",6,5
"1292",6,5
"1293",6,5
"1294",6,5
"1295",6,5
"1296",6,5
"1297",6,5
"1298",6,5
"1299",6,5
"1300",6,5
"1301",7,-14
"1302",7,-14
"1303",7,-14
"1304",7,-14
"1305",7,-14
"1306",7,-14
"1307",7,-14
"1308",7,-14
"1309",7,-14
"1310",7,-14
"1311",7,-2
"1312",7,-2
"1313",7,-2
"1314",7,-2
"1315",7,-2
"1316",7,-2
"1317",7,-2
"1318",7,-2
"1319",7,-2
"1320",7,-2
"1321",6,6
"1322",6,6
"1323",6,6
"1324",6,6
"1325",6,6
"1326",6,6
"1327",6,6
"1328",6,6
"1329",6,6
"1330",6,6
"1331",-16,-20
"1332",-16,-20
"1333",-16,-20
"1334",-16,-20
"1335",-16,-20
"1336",-16,-20
"1337",-16,-20
"1338",-16,-20
"1339",-16,-20
"1340",-16,-20
"1341",5,1
"1342",5,1
"1343",5,1
"1344",5,1
"1345",5,1
"1346",5,1
"1347",5,1
"1348",5,1
"1349",5,1
"1350",5,1
"1351",-14,4
"1352",-14,4
"1353",-14,4
"1354",-14,4
"1355",-14,4
"1356",-14,4
"1357",-14,4
"1358",-14,4
"1359",-14,4
"1360",-14,4
"1361",-9,-4
"1362",-9,-4
"1363",-9,-4
"1364",-9,-4
"1365",-9,-4
"1366",-9,-4
"1367",-9,-4
"1368",-9,-4
"1369",-9,-4
"1370",-9,-4
"1371",12,6
"1372",12,6
"1373",12,6
"1374",12,6
"1375",12,6
"1376",12,6
"1377",12,6
"1378",12,6
"1379",12,6
"1380",12,6
"1381",8,2
"1382",8,2
"1383",8,2
"1384",8,2
"1385",8,2
"1386",8,2
"1387",8,2
"1388",8,2
"1389",8,2
"1390",8,2
"1391",14,1
"1392",14,1
"1393",14,1
"1394",14,1
"1395",14,1
"1396",14,1
"1397",14,1
"1398",14,1
"1399",14,1
"1400",14,1
"1401",-10,12
"1402",-10,12
"1403",-10,12
"1404",-10,12
"1405",-10,12
"1406",-10,12
"1407",-10,12
"1408",-10,12
"1409",-10,12
"1410",-10,12
"1411",2,-1
"1412",2,-1
"1413",2,-1
"1414",2,-1
"1415",2,-1
"1416",2,-1
"1417",2,-1
"1418",2,-1
"1419",2,-1
"1420",2,-1
"1421",-2,-2
"1422",-2,-2
"1423",-2,-2
"1424",-2,-2
"1425",-2,-2
"1426",-2,-2
"1427",-2,-2
"1428",-2,-2
"1429",-2,-2
"1430",-2,-2
"1431",-8,-7
"1432",-8,-7
"1433",-8,-7
"1434",-8,-7
"1435",-8,-7
"1436",-8,-7
"1437",-8,-7
"1438",-8,-7
"1439",-8,-7
"1440",-8,-7
"1441",7,-8
"1442",7,-8
"1443",7,-8
"1444",7,-8
"1445",7,-8
"1446",7,-8
"1447",7,-8
"1448",7,-8
"1449",7,-8
"1450",7,-8
"1451",-6,-5
"1452",-6,-5
"1453",-6,-5
"1454",-6,-5
"1455",-6,-5
"1456",-6,-5
"1457",-6,-5
"1458",-6,-5
"1459",-6,-5
"1460",-6,-5
"1461",-3,8
"1462",-3,8
"1463",-3,8
"1464",-3,8
"1465",-3,8
"1466",-3,8
"1467",-3,8
"1468",-3,8
"1469",-3,8
"1470",-3,8
"1471",-10,-13
"1472",-10,-13
"1473",-10,-13
"1474",-10,-13
"1475",-10,-13
"1476",-10,-13
"1477",-10,-13
"1478",-10,-13
"1479",-10,-13
"1480",-10,-13
"1481",-14,-5
"1482",-14,-5
"1483",-14,-5
"1484",-14,-5
"1485",-14,-5
"1486",-14,-5
"1487",-14,-5
"1488",-14,-5
"1489",-14,-5
"1490",-14,-5
"1491",0,2
"1492",0,2
"1493",0,2
"1494",0,2
"1495",0,2
"1496",0,2
"1497",0,2
"1498",0,2
"1499",0,2
"1500",0,2
"1501",2,17
"1502",2,17
"1503",2,17
"1504",2,17
"1505",2,17
"1506",2,17
"1507",2,17
"1508",2,17
"1509",2,17
"1510",2,17
"1511",-8,-11
"1512",-8,-11
"1513",-8,-11
"1514",-8,-11
"1515",-8,-11
"1516",-8,-11
"1517",-8,-11
"1518",-8,-11
"1519",-8,-11
"1520",-8,-11
"1521",-7,2
"1522",-7,2
"1523",-7,2
"1524",-7,2
"1525",-7,2
"1526",-7,2
"1527",-7,2
"1528",-7,2
"1529",-7,2
"1530",-7,2
"1531",5,1
"1532",5,1
"1533",5,1
"1534",5,1
"1535",5,1
"1536",5,1
"1537",5,1
"1538",5,1
"1539",5,1
"1540",5,1
"1541",-8,-6
"1542",-8,-6
"1543",-8,-6
"1544",-8,-6
"1545",-8,-6
"1546",-8,-6
"1547",-8,-6
"1548",-8,-6
"1549",-8,-6
"1550",-8,-6
"1551",-7,10
"1552",-7,10
"1553",-7,10
"1554",-7,10
"1555",-7,10
"1556",-7,10
"1557",-7,10
"1558",-7,10
"1559",-7,10
"1560",-7,10
"1561",1,-4
"1562",1,-4
"1563",1,-4
"1564",1,-4
"1565",1,-4
"1566",1,-4
"1567",1,-4
"1568",1,-4
"1569",1,-4
"1570",1,-4
"1571",-7,7
"1572",-7,7
"1573",-7,7
"1574",-7,7
"1575",-7,7
"1576",-7,7
"1577",-7,7
"1578",-7,7
"1579",-7,7
"1580",-7,7
"1581",-4,1
"1582",-4,1
"1583",-4,1
"1584",-4,1
"1585",-4,1
"1586",-4,1
"1587",-4,1
"1588",-4,1
"1589",-4,1
"1590",-4,1
"1591",-8,0
"1592",-8,0
"1593",-8,0
"1594",-8,0
"1595",-8,0
"1596",-8,0
"1597",-8,0
"1598",-8,0
"1599",-8,0
"1600",-8,0
"1601",2,12
"1602",2,12
"1603",2,12
"1604",2,12
"1605",2,12
"1606",2,12
"1607",2,12
"1608",2,12
"1609",2,12
"1610",2,12
"1611",-1,1
"1612",-1,1
"1613",-1,1
"1614",-1,1
"1615",-1,1
"1616",-1,1
"1617",-1,1
"1618",-1,1
"1619",-1,1
"1620",-1,1
"1621",5,10
"1622",5,10
"1623",5,10
"1624",5,10
"1625",5,10
"1626",5,10
"1627",5,10
"1628",5,10
"1629",5,10
"1630",5,10
"1631",-13,-7
"1632",-13,-7
"1633",-13,-7
"1634",-13,-7
"1635",-13,-7
"1636",-13,-7
"1637",-13,-7
"1638",-13,-7
"1639",-13,-7
"1640",-13,-7
"1641",-13,5
"1642",-13,5
"1643",-13,5
"1644",-13,5
"1645",-13,5
"1646",-13,5
"1647",-13,5
"1648",-13,5
"1649",-13,5
"1650",-13,5
"1651",22,-6
"1652",22,-6
"1653",22,-6
"1654",22,-6
"1655",22,-6
"1656",22,-6
"1657",22,-6
"1658",22,-6
"1659",22,-6
"1660",22,-6
